id_code,species,elevation,replicate,field_sample_number,range_point,SLA,LMA,ABV,THK,,,,
CELgra_1_01,CELgra,1087,1,1,low,8.03,0.125,0.2244,0.831,,,,
CELgra_1_01,CELgra,1087,1,1,low,6.10,0.164,0.2244,0.881,,,,
CELgra_1_01,CELgra,1087,1,1,low,8.55,0.117,0.2244,0.874,,,,
CELgra_1_01,CELgra,1087,1,1,low,8.17,0.122,0.2244,0.865,,,,
CELgra_1_01,CELgra,1087,1,1,low,8.53,0.117,0.2244,0.897,,,,
CELgra_1_01,CELgra,1087,1,1,low,9.43,0.106,0.2244,0.936,,,,
CELgra_1_02,CELgra,1087,2,2,low,10.10,0.099,0.1634,0.853,,,,
CELgra_1_02,CELgra,1087,2,2,low,10.04,0.100,0.1634,0.926,,,,
CELgra_1_02,CELgra,1087,2,2,low,10.61,0.094,0.1634,0.826,,,,
CELgra_1_02,CELgra,1087,2,2,low,9.89,0.101,0.1634,0.860,,,,
CELgra_1_03,CELgra,1087,3,3,low,10.69,0.094,0.0444,0.756,,,,
CELgra_1_03,CELgra,1087,3,3,low,11.82,0.085,0.0444,0.802,,,, 
CELgra_1_03,CELgra,1087,3,3,low,7.66,0.131,0.0444,0.778,,,,
CELgra_1_03,CELgra,1087,3,3,low,10.69,0.094,0.0444,0.776,,,,
CELgra_1_04,CELgra,1087,4,4,low,9.44,0.106,0.4422,0.768,,,,
CELgra_1_04,CELgra,1087,4,4,low,14.39,0.069,0.4422,0.861,,,,
CELgra_1_04,CELgra,1087,4,4,low,11.75,0.085,0.4422,0.942,,,,
CELgra_1_04,CELgra,1087,4,4,low,9.47,0.106,0.4422,,,,,
CELgra_1_04,CELgra,1087,4,4,low,10.52,0.095,0.4422,,,,,
CELgra_1_04,CELgra,1087,4,4,low,10.32,0.097,0.4422,,,,,
CELgra_1_05,CELgra,1087,5,5,low,95.14,0.011,0.2207,0.957,,,,
CELgra_1_05,CELgra,1087,5,5,low,107.28,0.009,0.2207,0.906,,,,
CELgra_1_05,CELgra,1087,5,5,low,119.30,0.008,0.2207,0.846,,,,
CELgra_1_05,CELgra,1087,5,5,low,114.52,0.009,0.2207,0.835,,,,
CELgra_1_06,CELgra,1087,6,6,low,,,0.3777,0.926,,,,
CELgra_1_06,CELgra,1087,6,6,low,,,0.3777,0.830,,,,
CELgra_1_06,CELgra,1087,6,6,low,,,0.3777,1.039,,,,
CELgra_1_06,CELgra,1087,6,6,low,,,0.3777,0.835,,,,
CELgra_2_01,CELgra,1285,1,1,median,45.20,0.022,0.0312,0.701,,,,
CELgra_2_01,CELgra,1285,1,1,median,28.67,0.035,0.0312,0.762,,,,
CELgra_2_01,CELgra,1285,1,1,median,50.33,0.020,0.0312,0.698,,,,
CELgra_2_01,CELgra,1285,1,1,median,48.71,0.021,0.0312,0.765,,,,
CELgra_2_02,CELgra,1285,2,2,median,10.56,0.095,0.4021,0.782,,,,
CELgra_2_02,CELgra,1285,2,2,median,10.87,0.092,0.4021,0.773,,,,
CELgra_2_02,CELgra,1285,2,2,median,12.10,0.083,0.4021,0.844,,,,
CELgra_2_02,CELgra,1285,2,2,median,12.06,0.083,0.4021,0.764,,,,
CELgra_2_02,CELgra,1285,2,2,median,10.93,0.091,0.4021,0.833,,,,
CELgra_2_02,CELgra,1285,2,2,median,12.58,0.079,0.4021,0.853,,,,
CELgra_2_03,CELgra,1285,3,3,median,8.71,0.115,0.1800,0.998,,,,
CELgra_2_03,CELgra,1285,3,3,median,6.54,0.153,0.1800,0.960,,,,
CELgra_2_03,CELgra,1285,3,3,median,6.77,0.148,0.1800,0.895,,,,
CELgra_2_03,CELgra,1285,3,3,median,8.31,0.120,0.1800,0.947,,,,
CELgra_2_04,CELgra,1285,4,4,median,11.05,0.090,2.6337,0.921,,,,
CELgra_2_04,CELgra,1285,4,4,median,10.63,0.094,2.6337,0.996,,,,
CELgra_2_04,CELgra,1285,4,4,median,8.36,0.120,2.6337,0.995,,,,
CELgra_2_04,CELgra,1285,4,4,median,10.39,0.096,2.6337,0.836,,,,
CELgra_2_04,CELgra,1285,4,4,median,10.53,0.095,2.6337,1.008,,,,
CELgra_2_04,CELgra,1285,4,4,median,7.50,0.133,2.6337,0.983,,,,
CELgra_2_05,CELgra,1285,5,5,median,12.52,0.080,0.7436,0.866,,,,
CELgra_2_05,CELgra,1285,5,5,median,9.97,0.100,0.7436,0.891,,,,
CELgra_2_05,CELgra,1285,5,5,median,11.02,0.091,0.7436,0.936,,,,
CELgra_2_05,CELgra,1285,5,5,median,10.24,0.098,0.7436,0.912,,,,
